compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
GCC11.4.0,O0,1024,1,5709,159
GCC11.4.0,O0,1024,2,5658,140
GCC11.4.0,O0,1024,3,5660,141
GCC11.4.0,O0,2048,1,54658,806
GCC11.4.0,O0,2048,2,65812,789
GCC11.4.0,O0,2048,3,53094,792
GCC11.4.0,O0,4096,1,759604,4537
GCC11.4.0,O0,4096,2,833708,4572
GCC11.4.0,O0,4096,3,770847,4550
GCC11.4.0,O2-novec,1024,1,2802,152
GCC11.4.0,O2-novec,1024,2,2645,151
GCC11.4.0,O2-novec,1024,3,2803,195
GCC11.4.0,O2-novec,2048,1,31119,866
GCC11.4.0,O2-novec,2048,2,29387,850
GCC11.4.0,O2-novec,2048,3,29870,821
GCC11.4.0,O2-novec,4096,1,431996,4627
GCC11.4.0,O2-novec,4096,2,424524,4759
GCC11.4.0,O2-novec,4096,3,429985,4773
GCC11.4.0,O3-vec,1024,1,2465,143
GCC11.4.0,O3-vec,1024,2,2200,142
GCC11.4.0,O3-vec,1024,3,2222,142
GCC11.4.0,O3-vec,2048,1,24744,817
GCC11.4.0,O3-vec,2048,2,25976,821
GCC11.4.0,O3-vec,2048,3,25698,818
GCC11.4.0,O3-vec,4096,1,413236,4916
GCC11.4.0,O3-vec,4096,2,413963,4931
GCC11.4.0,O3-vec,4096,3,402522,4915
GCC11.4.0,Ofast-vec,1024,1,2329,142
GCC11.4.0,Ofast-vec,1024,2,2294,142
GCC11.4.0,Ofast-vec,1024,3,2405,142
GCC11.4.0,Ofast-vec,2048,1,25371,818
GCC11.4.0,Ofast-vec,2048,2,24452,810
GCC11.4.0,Ofast-vec,2048,3,28158,870
GCC11.4.0,Ofast-vec,4096,1,431640,4785
GCC11.4.0,Ofast-vec,4096,2,412560,4694
GCC11.4.0,Ofast-vec,4096,3,372107,4590
