compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
GCC8.4.0,O0,1024,1,5582,120
GCC8.4.0,O0,1024,2,5581,117
GCC8.4.0,O0,1024,3,5582,116
GCC8.4.0,O0,2048,1,45874,765
GCC8.4.0,O0,2048,2,45887,763
GCC8.4.0,O0,2048,3,46523,766
GCC8.4.0,O0,4096,1,433046,5655
GCC8.4.0,O0,4096,2,235748,4476
GCC8.4.0,O0,4096,3,235988,4560
GCC8.4.0,O2-novec,1024,1,2225,121
GCC8.4.0,O2-novec,1024,2,2218,121
GCC8.4.0,O2-novec,1024,3,2225,120
GCC8.4.0,O2-novec,2048,1,21876,780
GCC8.4.0,O2-novec,2048,2,21866,777
GCC8.4.0,O2-novec,2048,3,21936,776
GCC8.4.0,O2-novec,4096,1,225696,5693
GCC8.4.0,O2-novec,4096,2,226056,5698
GCC8.4.0,O2-novec,4096,3,229070,4437
GCC8.4.0,O3-vec,1024,1,2035,120
GCC8.4.0,O3-vec,1024,2,2028,121
GCC8.4.0,O3-vec,1024,3,2034,121
GCC8.4.0,O3-vec,2048,1,20367,776
GCC8.4.0,O3-vec,2048,2,20482,780
GCC8.4.0,O3-vec,2048,3,20434,779
GCC8.4.0,O3-vec,4096,1,231438,5699
GCC8.4.0,O3-vec,4096,2,230671,5756
GCC8.4.0,O3-vec,4096,3,232478,5697
GCC8.4.0,Ofast-vec,1024,1,2000,121
GCC8.4.0,Ofast-vec,1024,2,2007,119
GCC8.4.0,Ofast-vec,1024,3,2009,119
GCC8.4.0,Ofast-vec,2048,1,19912,775
GCC8.4.0,Ofast-vec,2048,2,19937,775
GCC8.4.0,Ofast-vec,2048,3,20254,736
GCC8.4.0,Ofast-vec,4096,1,232763,4446
GCC8.4.0,Ofast-vec,4096,2,232996,4450
GCC8.4.0,Ofast-vec,4096,3,232011,4429
