compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
ICC2021.3.0,O2,1024,1,2145,295
ICC2021.3.0,O2,1024,2,2147,83
ICC2021.3.0,O2,1024,3,1968,76
ICC2021.3.0,O2,2048,1,22533,506
ICC2021.3.0,O2,2048,2,21942,486
ICC2021.3.0,O2,2048,3,22945,483
ICC2021.3.0,O2,4096,1,358303,3147
ICC2021.3.0,O2,4096,2,356315,3226
ICC2021.3.0,O2,4096,3,356421,3220
ICC2021.3.0,O3,1024,1,1868,76
ICC2021.3.0,O3,1024,2,1818,88
ICC2021.3.0,O3,1024,3,2106,89
ICC2021.3.0,O3,2048,1,22331,518
ICC2021.3.0,O3,2048,2,21887,519
ICC2021.3.0,O3,2048,3,22533,519
ICC2021.3.0,O3,4096,1,365333,3181
ICC2021.3.0,O3,4096,2,380235,3162
ICC2021.3.0,O3,4096,3,368530,3281
ICC2021.3.0,fast,1024,1,1782,133
ICC2021.3.0,fast,1024,2,2027,108
ICC2021.3.0,fast,1024,3,2235,118
ICC2021.3.0,fast,2048,1,17042,440
ICC2021.3.0,fast,2048,2,16745,413
ICC2021.3.0,fast,2048,3,16165,418
ICC2021.3.0,fast,4096,1,191357,2774
ICC2021.3.0,fast,4096,2,201288,2510
ICC2021.3.0,fast,4096,3,194918,2874
