compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
ICX2021.3.0,O2,1024,1,2005,452
ICX2021.3.0,O2,1024,2,1872,91
ICX2021.3.0,O2,1024,3,1916,90
ICX2021.3.0,O2,2048,1,22816,478
ICX2021.3.0,O2,2048,2,22069,476
ICX2021.3.0,O2,2048,3,22658,487
ICX2021.3.0,O2,4096,1,355673,3079
ICX2021.3.0,O2,4096,2,356030,3123
ICX2021.3.0,O2,4096,3,358891,3110
ICX2021.3.0,O3,1024,1,1755,89
ICX2021.3.0,O3,1024,2,1973,75
ICX2021.3.0,O3,1024,3,1969,75
ICX2021.3.0,O3,2048,1,22110,458
ICX2021.3.0,O3,2048,2,21923,480
ICX2021.3.0,O3,2048,3,22082,479
ICX2021.3.0,O3,4096,1,369536,3094
ICX2021.3.0,O3,4096,2,375077,3244
ICX2021.3.0,O3,4096,3,369784,3153
ICX2021.3.0,Ofast,1024,1,1915,93
ICX2021.3.0,Ofast,1024,2,2011,90
ICX2021.3.0,Ofast,1024,3,1784,90
ICX2021.3.0,Ofast,2048,1,21190,481
ICX2021.3.0,Ofast,2048,2,20837,481
ICX2021.3.0,Ofast,2048,3,21012,483
ICX2021.3.0,Ofast,4096,1,344903,3113
ICX2021.3.0,Ofast,4096,2,352261,3092
ICX2021.3.0,Ofast,4096,3,457137,3622
ICX2021.3.0,Ofast-ipo,1024,1,2314,102
ICX2021.3.0,Ofast-ipo,1024,2,2388,107
ICX2021.3.0,Ofast-ipo,1024,3,2646,106
ICX2021.3.0,Ofast-ipo,2048,1,28094,560
ICX2021.3.0,Ofast-ipo,2048,2,28892,516
ICX2021.3.0,Ofast-ipo,2048,3,31125,585
ICX2021.3.0,Ofast-ipo,4096,1,455761,3778
ICX2021.3.0,Ofast-ipo,4096,2,452793,3580
ICX2021.3.0,Ofast-ipo,4096,3,417595,3487
